id,sex,emo,filename
26,m,col,NP_m_26_col01b.wav
26,m,col,NP_m_26_col02b.wav
26,m,col,NP_m_26_col03b.wav
26,m,col,NP_m_26_col04b.wav
26,m,col,NP_m_26_col05b.wav
26,m,col,NP_m_26_col06b.wav
26,m,col,NP_m_26_col07b.wav
26,m,col,NP_m_26_col08b.wav
26,m,col,NP_m_26_col09b.wav
26,m,col,NP_m_26_col10b.wav
26,m,col,NP_m_26_col11b.wav
26,m,dis,NP_m_26_dis00a.wav
26,m,dis,NP_m_26_dis01b.wav
26,m,dis,NP_m_26_dis02b.wav
26,m,dis,NP_m_26_dis03b.wav
26,m,dis,NP_m_26_dis04b.wav
26,m,dis,NP_m_26_dis05b.wav
26,m,dis,NP_m_26_dis06b.wav
26,m,dis,NP_m_26_dis07b.wav
26,m,dis,NP_m_26_dis08b.wav
26,m,dis,NP_m_26_dis09b.wav
26,m,dis,NP_m_26_dis10b.wav
26,m,dis,NP_m_26_dis11b.wav
26,m,dis,NP_m_26_dis12b.wav
26,m,dis,NP_m_26_dis13b.wav
26,m,dis,NP_m_26_dis14b.wav
26,m,dis,NP_m_26_dis15b.wav
26,m,dis,NP_m_26_dis16b.wav
26,m,dis,NP_m_26_dis17b.wav
26,m,dis,NP_m_26_dis19b.wav
26,m,dis,NP_m_26_dis20b.wav
26,m,dis,NP_m_26_dis21b.wav
26,m,dis,NP_m_26_dis23b.wav
26,m,gio,NP_m_26_gio00a.wav
26,m,gio,NP_m_26_gio01b.wav
26,m,gio,NP_m_26_gio02b.wav
26,m,gio,NP_m_26_gio03b.wav
26,m,gio,NP_m_26_gio04b.wav
26,m,gio,NP_m_26_gio05b.wav
26,m,gio,NP_m_26_gio06b.wav
26,m,gio,NP_m_26_gio07b.wav
26,m,gio,NP_m_26_gio08b.wav
26,m,gio,NP_m_26_gio09b.wav
26,m,gio,NP_m_26_gio10b.wav
26,m,gio,NP_m_26_gio11b.wav
26,m,gio,NP_m_26_gio12b.wav
26,m,gio,NP_m_26_gio14b.wav
26,m,gio,NP_m_26_gio15b.wav
26,m,gio,NP_m_26_gio16b.wav
26,m,gio,NP_m_26_gio17b.wav
26,m,gio,NP_m_26_gio18b.wav
26,m,gio,NP_m_26_gio19b.wav
26,m,gio,NP_m_26_gio20b.wav
26,m,pau,NP_m_26_pau01b.wav
26,m,pau,NP_m_26_pau02b.wav
26,m,pau,NP_m_26_pau03b.wav
26,m,pau,NP_m_26_pau04b.wav
26,m,pau,NP_m_26_pau05b.wav
26,m,pau,NP_m_26_pau06b.wav
26,m,pau,NP_m_26_pau07b.wav
26,m,pau,NP_m_26_pau08b.wav
26,m,pau,NP_m_26_pau09b.wav
26,m,pau,NP_m_26_pau10b.wav
26,m,rab,NP_m_26_rab01b.wav
26,m,rab,NP_m_26_rab02b.wav
26,m,rab,NP_m_26_rab03b.wav
26,m,rab,NP_m_26_rab04b.wav
26,m,rab,NP_m_26_rab05b.wav
26,m,rab,NP_m_26_rab06b.wav
26,m,rab,NP_m_26_rab07b.wav
26,m,rab,NP_m_26_rab08b.wav
26,m,rab,NP_m_26_rab09b.wav
26,m,rab,NP_m_26_rab11b.wav
26,m,rab,NP_m_26_rab12b.wav
26,m,rab,NP_m_26_rab13b.wav
26,m,sor,NP_m_26_sor01b.wav
26,m,sor,NP_m_26_sor02b.wav
26,m,sor,NP_m_26_sor03b.wav
26,m,sor,NP_m_26_sor04b.wav
26,m,sor,NP_m_26_sor09b.wav
26,m,sor,NP_m_26_sor10b.wav
26,m,sor,NP_m_26_sor11b.wav
26,m,sor,NP_m_26_sor12b.wav
26,m,sor,NP_m_26_sor13b.wav
26,m,tri,NP_m_26_tri00a.wav
26,m,tri,NP_m_26_tri03b.wav
26,m,tri,NP_m_26_tri06b.wav
26,m,tri,NP_m_26_tri07b.wav
26,m,tri,NP_m_26_tri08b.wav
26,m,tri,NP_m_26_tri09b.wav
26,m,tri,NP_m_26_tri10b.wav
26,m,tri,NP_m_26_tri11b.wav
26,m,tri,NP_m_26_tri12b.wav
26,m,tri,NP_m_26_tri13b.wav
26,m,tri,NP_m_26_tri14b.wav
26,m,tri,NP_m_26_tri15b.wav
26,m,tri,NP_m_26_tri16b.wav
26,m,tri,NP_m_26_tri17b.wav
26,m,tri,NP_m_26_tri18b.wav
26,m,tri,NP_m_26_tri19b.wav
26,m,col,PR_m_26_col00a.wav
26,m,col,PR_m_26_col12b.wav
26,m,col,PR_m_26_col13b.wav
26,m,pau,PR_m_26_pau00a.wav
26,m,pau,PR_m_26_pau12b.wav
26,m,pau,PR_m_26_pau13b.wav
26,m,pau,PR_m_26_pau14b.wav
26,m,pau,PR_m_26_pau15b.wav
26,m,rab,PR_m_26_rab00a.wav
26,m,rab,PR_m_26_rab10b.wav
26,m,rab,PR_m_26_rab14b.wav
26,m,rab,PR_m_26_rab15b.wav
26,m,rab,PR_m_26_rab16b.wav
26,m,rab,PR_m_26_rab17b.wav
26,m,rab,PR_m_26_rab18b.wav
26,m,rab,PR_m_26_rab19b.wav
26,m,rab,PR_m_26_rab20b.wav
26,m,sor,PR_m_26_sor00a.wav
26,m,sor,PR_m_26_sor05b.wav
26,m,sor,PR_m_26_sor06b.wav
26,m,sor,PR_m_26_sor07b.wav
26,m,sor,PR_m_26_sor08b.wav
26,m,tri,PR_m_26_tri01b.wav
26,m,tri,PR_m_26_tri02b.wav
26,m,tri,PR_m_26_tri04b.wav
26,m,tri,PR_m_26_tri05b.wav
68,m,col,NP_m_68_col01b.wav
68,m,col,NP_m_68_col02b.wav
